"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","lat","lng"
"Petulia","1968","Pier 43 1/2","","Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","37.80911","-122.41465"
"Birdman of Alcatraz","1962","Pier 43 1/2","","Norma Productions","United Artists","John Frankenheimer","Guy Trosper","Burt Lancaster","Karl Maden","Thelma Ritter","37.80911","-122.41465"
"Birdman of Alcatraz","1962","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Norma Productions","United Artists","John Frankenheimer","Guy Trosper","Burt Lancaster","Karl Maden","Thelma Ritter","37.8269775","-122.4229555"
"Birth of the Dragon","2016","Grant between Bush and Broadway","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7906994","-122.4056117"
"Birth of the Dragon","2016","Leavenworth at Green","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7985017","-122.4172437"
"Birth of the Dragon","2016","Hyde at Union","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7992091","-122.4190745"
"Birth of the Dragon","2016","California at Mason","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7918421","-122.4108428"
"Birth of the Dragon","2016","Leavenworth at Union","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7994171","-122.4174331"
"Birth of the Dragon","2016","Lands End Trail at Eagles Point/ Lincoln Park Golf Course","The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.78670049999999","-122.4948301"
"Birth of the Dragon","2016","Pier 45 - Jeremiah O'Brien Liberty Ship","The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.8110638","-122.4181442"
"Birth of the Dragon","2016","Waverly Pl between Washington and Sacramento","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.79374790000001","-122.4066291"
"Birth of the Dragon","2016","Spofford between Clay and Washington","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7950261","-122.4075199"
"Birth of the Dragon","2016","Twin Peaks Blvd.","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7533934","-122.4481732"
"Birth of the Dragon","2016","California at Grant","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7924638","-122.405954"
"Birth of the Dragon","2016","Pier 45 - Jeremiah O'Brien Liberty Ship","The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.8110638","-122.4181442"
"Birth of the Dragon","2016","Spofford between Clay and Washington","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7950261","-122.4075199"
"Birth of the Dragon","2016","Twin Peaks Blvd.","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7533934","-122.4481732"
"Birth of the Dragon","2016","Hyde at Union","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7992091","-122.4190745"
"Birth of the Dragon","2016","Waverly Pl between Washington and Sacramento","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.79374790000001","-122.4066291"
"Birth of the Dragon","2016","California at Mason","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7918421","-122.4108428"
"Birth of the Dragon","2016","Lands End Trail at Eagles Point/ Lincoln Park Golf Course","The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.78670049999999","-122.4948301"
"Birth of the Dragon","2016","Leavenworth at Green","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7985017","-122.4172437"
"Birth of the Dragon","2016","Grant between Bush and Broadway","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7906994","-122.4056117"
"Birth of the Dragon","2016","Leavenworth at Union","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7994171","-122.4174331"
"Birth of the Dragon","2016","California at Grant","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","37.7924638","-122.405954"
"Bitter Melon","2018","600 Niagara Ave","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7203648","-122.4493114"
"Bitter Melon","2018","788 Minna St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7760486","-122.4141237"
"Bitter Melon","2018","145 9th St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7758595","-122.4138534"
"Bitter Melon","2018","68 Dublin St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7188413","-122.4263685"
"Bitter Melon","2018","66 Danton St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.731305","-122.4326346"
"Bitter Melon","2018","3139 16th St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.764726","-122.4227528"
"Bitter Melon","2018","3189 16th St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7646471","-122.4237983"
"Bitter Melon","2018","Pay and Save Grocery, 599 Guerrero St","The film won Best Narrative Feature at the San Diego Asian Film Festival.","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7616945","-122.4236314"
"Bitter Melon","2018","298 11th St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7719479","-122.4144497"
"Bitter Melon","2018","33 Dearborn St","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7627015","-122.4228372"
"Bitter Melon","2018","386 4th Ave","","Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","37.7814826","-122.4620086"
"Blue Jasmine","2013","Heald College","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.78183490000001","-122.4043355"
"Blue Jasmine","2013","790 Ulloa","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7408365","-122.4647031"
"Blue Jasmine","2013","Grant & Washington St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.0437718","-95.6475703"
"Blue Jasmine","2013","Real Guitars","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7734127","-122.4174864"
"Blue Jasmine","2013","2179 48th Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7455566","-122.5072394"
"Blue Jasmine","2013","1138 Alabama St","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.75367","-122.4112992"
"Blue Jasmine","2013","Marina Blvd from Laguna to Baker","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.8044802","-122.4327853"
"Blue Jasmine","2013","Marina Green","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.8062419","-122.4349436"
"Blue Jasmine","2013","South Park","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7816579","-122.3938961"
"Blue Jasmine","2013","330 Santa Clara Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7342703","-122.4665605"
"Blue Jasmine","2013","Jones & Pacific","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.0327173","-95.63102959999999"
"Blue Jasmine","2013","Trolley Car from Market and 11th","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7938256","-122.3935533"
"Blue Jasmine","2013","Motel Capri","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.79918500000001","-122.433029"
"Blue Jasmine","2013","2898 Broadway","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.793335","-122.44471"
"Blue Jasmine","2013","The Ramp Restaurant","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7641206","-122.3867726"
"Blue Jasmine","2013","2934 24th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7529598","-122.4107118"
"Blue Jasmine","2013","3563 20th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7584616","-122.420399"
"Blue Jasmine","2013","Taylor & Green St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","30.5707551","-97.40944379999999"
"Blue Jasmine","2013","2178 Palou Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7406288","-122.4015231"
"Blue Jasmine","2013","Ocean Beach at Lincoln","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.75939210000001","-122.510734"
"Blue Jasmine","2013","303-305 S. Van Ness","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7682797","-122.4176628"
"Blue Jasmine","2013","2915 16th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7650165","-122.4179625"
"Blue Jasmine","2013","200 Post St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.788804","-122.4053893"
"Blue Jasmine","2013","Lombard & Hyde","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","41.8800296","-88.00784349999999"
"Blue Jasmine","2013","Aub Zam Zam Bar","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.769619","-122.449291"
"Blue Jasmine","2013","5546 Geary Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7806261","-122.4792196"
"Blue Jasmine","2013","SFO International Airport Terminal 3","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.6213129","-122.3789554"
"Blue Jasmine","2013","Pacific & Divisadero","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","-8.783195","-124.508523"
"Blue Jasmine","2013","5546 Geary Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7806261","-122.4792196"
"Blue Jasmine","2013","Jones & Pacific","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.0327173","-95.63102959999999"
"Blue Jasmine","2013","Pacific & Divisadero","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","-8.783195","-124.508523"
"Blue Jasmine","2013","Lombard & Hyde","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","41.8800296","-88.00784349999999"
"Blue Jasmine","2013","2898 Broadway","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.793335","-122.44471"
"Blue Jasmine","2013","Motel Capri","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.79918500000001","-122.433029"
"Blue Jasmine","2013","Marina Green","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.8062419","-122.4349436"
"Blue Jasmine","2013","Ocean Beach at Lincoln","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.75939210000001","-122.510734"
"Blue Jasmine","2013","Heald College","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.78183490000001","-122.4043355"
"Blue Jasmine","2013","Marina Blvd from Laguna to Baker","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.8044802","-122.4327853"
"Blue Jasmine","2013","330 Santa Clara Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7342703","-122.4665605"
"Blue Jasmine","2013","200 Post St. ","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.788804","-122.4053893"
"Blue Jasmine","2013","2179 48th Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7455566","-122.5072394"
"Blue Jasmine","2013","The Ramp Restaurant","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7641206","-122.3867726"
"Blue Jasmine","2013","303-305 S. Van Ness","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7682797","-122.4176628"
"Blue Jasmine","2013","3563 20th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7584616","-122.420399"
"Blue Jasmine","2013","Taylor & Green St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","30.5707551","-97.40944379999999"
"Blue Jasmine","2013","Grant & Washington St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.0437718","-95.6475703"
"Blue Jasmine","2013","2934 24th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7529598","-122.4107118"
"Blue Jasmine","2013","1138 Alabama St","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.75367","-122.4112992"
"Blue Jasmine","2013","South Park","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7816579","-122.3938961"
"Blue Jasmine","2013","2915 16th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7650165","-122.4179625"
"Blue Jasmine","2013","Trolley Car from Market and 11th","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7938256","-122.3935533"
"Blue Jasmine","2013","Real Guitars","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7734127","-122.4174864"
"Blue Jasmine","2013","Aub Zam Zam Bar","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.769619","-122.449291"
"Blue Jasmine","2013","790 Ulloa ","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7408365","-122.4647031"
"Blue Jasmine","2013","SFO International Airport Terminal 3","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.6213129","-122.3789554"
"Blue Jasmine","2013","2178 Palou Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","37.7406288","-122.4015231"
"Play it Again, Sam","1972","Aquatic Park (Jefferson Street)","Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.","Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","37.8063859","-122.4235308"
"Boys and Girls","2000","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7941378","-122.4077914"
"Boys and Girls","2000","Fisherman's Wharf","Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8079996","-122.4177434"
"Getting Even with Dad","1994","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Howard Deutch","Tom S. Parker","Macaulay Culkin","Ted Danson","","37.6241039","-97.4699431"
"Boys and Girls","2000","1122 Folsom Street","","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7763832","-122.4086985"
"Boys and Girls","2000","Lombard Street","Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.80098510000001","-122.4267626"
"Boys and Girls","2000","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7894465","-122.3950747"
"Just One Night","2000","Ferry Building","Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.","Panoptic Pictures","First Look International","Alan Jacobs","Alan Jacobs","Timothy Hutton","Maria Grazia Cucinotta","","37.7955703","-122.3933208"
"Boys and Girls","2000","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8023949","-122.4058222"
"Boys and Girls","2000","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8269775","-122.4229555"
"Boys and Girls","2000","628 Cole Street","","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.769226","-122.4504325"
"Boys and Girls","2000","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8199286","-122.4782551"
"Boys and Girls","2000","1122 Folsom Street","","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7763832","-122.4086985"
"Boys and Girls","2000","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.6241039","-97.4699431"
"Boys and Girls","2000","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8199286","-122.4782551"
"Boys and Girls","2000","Fisherman's Wharf","Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8079996","-122.4177434"
"Boys and Girls","2000","Ferry Building","Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7955703","-122.3933208"
"Boys and Girls","2000","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8023949","-122.4058222"
"Boys and Girls","2000","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7894465","-122.3950747"
"Boys and Girls","2000","Lombard Street","Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.80098510000001","-122.4267626"
"Boys and Girls","2000","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.7941378","-122.4077914"
"Boys and Girls","2000","Aquatic Park (Jefferson Street)","Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8063859","-122.4235308"
"Boys and Girls","2000","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.8269775","-122.4229555"
"Boys and Girls","2000","628 Cole Street","","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","","37.769226","-122.4504325"
"Broken-A Modern Love Story ","2010","Ina Coolbrith Park (1700 Taylor Street)","","RKW Films","","Ryan K. Whiting","Ryan K. Whiting","","","","37.7982745","-122.4134592"
"Broken-A Modern Love Story","2010","0-100 block Halleck Street","","RKW Films","","Ryan K. Whiting","Ryan K. Whiting","","","","37.7937007","-122.4000965"
"Broken-A Modern Love Story ","2010","Ina Coolbrith Park (1700 Taylor Street)","","RKW Films","","Ryan K. Whiting","Ryan K. Whiting","","","","37.7982745","-122.4134592"
"Broken-A Modern Love Story ","2010","0-100 block Halleck Street","","RKW Films","","Ryan K. Whiting","Ryan K. Whiting","","","","37.7937007","-122.4000965"
"Budding Prospects, Pilot","2017","Lucky Street","","Picrow Streaming Inc.","Amazon ","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore","37.7509423","-122.4133835"
